action_00,action_01,action_02,action_03,action_04,action_05,action_06,action_07,action_08,action_09,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19
"[-0.2622486650943756,-0.07941892743110657,-0.1486230492591858]","[-0.12437081336975098,-0.09784135222434998,-0.3510052263736725]","[-0.06474530696868896,-0.09346923232078552,-0.11036384105682373]","[-0.18820902705192566,-0.16902025043964386,-0.1886039674282074]","[-0.1729464828968048,-0.056922540068626404,-0.18638217449188232]","[-0.20834054052829742,-0.07931704074144363,-0.20620033144950867]","[-0.24248084425926208,0.011781521141529083,-0.18317145109176636]","[-0.1292988806962967,-0.1145879477262497,-0.2951847016811371]","[-0.23869732022285461,-0.1073717325925827,-0.19279468059539795]","[-0.24042335152626038,-0.16390655934810638,-0.20493610203266144]","[-0.2664834260940552,-0.0619707815349102,-0.22941341996192932]","[-0.20349189639091492,0.03032323718070984,-0.249860942363739]","[-0.18506565690040588,-0.02700856328010559,-0.34212949872016907]","[-0.2267913520336151,-0.09811627864837646,-0.31981921195983887]","[-0.09594717621803284,-0.1399601846933365,-0.24426449835300446]","[-0.16754302382469177,-0.19808831810951233,-0.1941695213317871]","[-0.19486784934997559,-0.028314337134361267,-0.2576168477535248]","[-0.22667694091796875,-0.09962935745716095,-0.1964697539806366]","[-0.13290220499038696,-0.16255822777748108,-0.18022572994232178]","[-0.21480673551559448,-0.09478890895843506,-0.27455270290374756]"
"[-0.27224647998809814,0.0002683475613594055,-0.16638368368148804]","[-0.17226070165634155,-0.06740933656692505,-0.16217175126075745]","[-0.2534213960170746,-0.07995861768722534,-0.23904672265052795]","[-0.2042551189661026,-0.1348957121372223,-0.19386886060237885]","[-0.33401691913604736,-0.024076122790575027,-0.21491685509681702]","[-0.17179062962532043,-0.059025540947914124,-0.2445882260799408]","[-0.2025468349456787,-0.06448840349912643,-0.2080119550228119]","[-0.2203310877084732,-0.041599858552217484,-0.08914406597614288]","[-0.20708081126213074,-0.009055979549884796,-0.23985733091831207]","[-0.26504358649253845,-0.026829399168491364,-0.22142896056175232]","[-0.27656644582748413,-0.07142335921525955,-0.2763708531856537]","[-0.2218543291091919,-0.003558710217475891,-0.20416998863220215]","[-0.1729234904050827,0.023106947541236877,-0.2380611002445221]","[-0.17461976408958435,-0.06409626454114914,-0.3924870193004608]","[-0.27890244126319885,-0.10957752168178558,-0.26430708169937134]","[-0.21659816801548004,-0.044141821563243866,-0.22014926373958588]","[-0.2007637470960617,-0.14722031354904175,-0.2421761453151703]","[-0.16537225246429443,-0.13844084739685059,-0.22242434322834015]","[-0.10221333801746368,0.053139567375183105,-0.19217801094055176]","[-0.341015487909317,0.008208170533180237,-0.07389551401138306]"
"[-0.1706264615058899,-0.07253175973892212,-0.199120432138443]","[-0.2119690179824829,-0.11939617991447449,-0.22390839457511902]","[-0.22413793206214905,-0.11622262746095657,-0.17253734171390533]","[-0.21001902222633362,-0.14450044929981232,-0.17491069436073303]","[-0.16653889417648315,-0.11144089698791504,-0.2451200932264328]","[-0.2146891951560974,-0.08054901659488678,-0.23327070474624634]","[-0.27783292531967163,-0.0611947700381279,-0.27459728717803955]","[-0.24694135785102844,0.017182663083076477,-0.20514759421348572]","[-0.18369989097118378,-0.051626719534397125,-0.233946293592453]","[-0.2563535273075104,-0.08800564706325531,-0.14900575578212738]","[-0.23735950887203217,-0.09781467169523239,-0.24492764472961426]","[-0.17844676971435547,-0.14246612787246704,-0.2901189923286438]","[-0.2488653063774109,-0.11539271473884583,-0.33498015999794006]","[-0.2085309475660324,-0.1250278502702713,-0.2820204198360443]","[-0.16775664687156677,-0.20424050092697144,-0.2500235140323639]","[-0.21943309903144836,-0.0335499569773674,-0.3078884184360504]","[-0.2434508353471756,-0.03005753457546234,-0.2661340534687042]","[-0.22731855511665344,-0.09475880861282349,-0.1713619977235794]","[-0.1569618433713913,-0.04012729972600937,-0.13201451301574707]","[-0.14945751428604126,-0.0010937154293060303,-0.1798010915517807]"
"[-0.17652516067028046,-0.03695550560951233,-0.22235289216041565]","[-0.2273419201374054,-0.08845110237598419,-0.2249019742012024]","[-0.21878546476364136,-0.09048974514007568,-0.23913711309432983]","[-0.21525532007217407,0.026828482747077942,-0.2067696750164032]","[-0.22719252109527588,-0.13840946555137634,-0.13515174388885498]","[-0.20038461685180664,-0.08503652364015579,-0.2617861032485962]","[-0.33395111560821533,-0.03204965591430664,-0.2533113658428192]","[-0.20582698285579681,-0.08736161142587662,-0.22917507588863373]","[-0.19775260984897614,-0.061005234718322754,-0.3354017436504364]","[-0.22755378484725952,-0.048314306885004044,-0.2841278314590454]","[-0.23206236958503723,-0.12365850806236267,-0.3077912926673889]","[-0.19091135263442993,-0.04040476307272911,-0.2604922950267792]","[-0.11109516024589539,-0.00349484384059906,-0.2931536138057709]","[-0.17369705438613892,-0.040824055671691895,-0.330369234085083]","[-0.18296130001544952,-0.19361549615859985,-0.298201322555542]","[-0.19182075560092926,-0.03398560732603073,-0.2398795485496521]","[-0.12481442838907242,-0.03354177623987198,-0.33976298570632935]","[-0.17763744294643402,-0.06186627596616745,-0.3328360319137573]","[-0.21125859022140503,-0.12933950126171112,-0.27084970474243164]","[-0.24144862592220306,-0.15210913121700287,-0.288766086101532]"
"[-0.20721790194511414,-0.0860585868358612,-0.1849176436662674]","[-0.14606288075447083,-0.1611185222864151,-0.24849911034107208]","[-0.19400577247142792,-0.08179270476102829,-0.14516139030456543]","[-0.2386454939842224,-0.09371887892484665,-0.19524534046649933]","[-0.20091703534126282,-0.12230212241411209,-0.22936883568763733]","[-0.19332844018936157,0.014483138918876648,-0.03964701294898987]","[-0.2004290223121643,-0.09527252614498138,-0.286512553691864]","[-0.1519288420677185,-0.11151313781738281,-0.1804584264755249]","[-0.23235675692558289,-0.06285127997398376,-0.2698041796684265]","[-0.22262796759605408,-0.07916910946369171,-0.2491874098777771]","[-0.28519168496131897,-0.0066827163100242615,-0.2499346286058426]","[-0.24938620626926422,-0.0818314403295517,-0.2894556522369385]","[-0.2797919809818268,-0.10945780575275421,-0.36485981941223145]","[-0.18008758127689362,-0.13417848944664001,-0.2993578314781189]","[-0.319059818983078,-0.011678531765937805,-0.18555036187171936]","[-0.17500147223472595,-0.10826224833726883,-0.19849935173988342]","[-0.26189279556274414,-0.15848278999328613,-0.20438438653945923]","[-0.18923169374465942,-0.034767553210258484,-0.17537079751491547]","[-0.3336668610572815,-0.02210298180580139,-0.1548781841993332]","[-0.18191292881965637,-0.13482721149921417,-0.15843868255615234]"
"[-0.1084282249212265,-0.04982767999172211,-0.21995379030704498]","[-0.20648235082626343,-0.0371779128909111,-0.14228889346122742]","[-0.12623374164104462,-0.03252045810222626,-0.1310838907957077]","[-0.17826972901821136,-0.0745229721069336,-0.1585424393415451]","[-0.1926678866147995,-0.07748094946146011,-0.22261646389961243]","[-0.23061318695545197,-0.10710208117961884,-0.25897303223609924]","[-0.16217303276062012,-0.028969019651412964,-0.22225421667099]","[-0.16817951202392578,0.126663938164711,-0.28328758478164673]","[-0.14432984590530396,-0.22371619939804077,-0.23520046472549438]","[-0.17963860929012299,-0.07179437577724457,-0.25354769825935364]","[-0.19935306906700134,-0.09195613116025925,-0.17834019660949707]","[-0.34051021933555603,-0.018655642867088318,-0.1942283809185028]","[-0.1396876871585846,-0.13750705122947693,-0.3879489302635193]","[-0.18433815240859985,0.021131902933120728,-0.4000181555747986]","[-0.293812096118927,-0.09077557921409607,-0.27417421340942383]","[-0.23797839879989624,-0.1492944061756134,-0.1493084579706192]","[-0.10441483557224274,-0.03086564689874649,-0.21728800237178802]","[-0.2807387113571167,-0.09290894120931625,-0.10431629419326782]","[-0.27015215158462524,-0.06958556175231934,-0.20946024358272552]","[-0.3227626383304596,-0.18620242178440094,-0.2081676572561264]"
"[-0.1170131266117096,0.035466209053993225,-0.23331773281097412]","[-0.1651926338672638,-0.09761538356542587,-0.11911055445671082]","[-0.27098268270492554,-0.026127859950065613,-0.20917177200317383]","[-0.1824200451374054,-0.1689223200082779,-0.17811638116836548]","[-0.22459980845451355,-0.06257472932338715,-0.26042070984840393]","[-0.2645155191421509,-0.13163217902183533,-0.273030161857605]","[-0.2038184106349945,-0.13483312726020813,-0.2024669349193573]","[-0.24340300261974335,-0.1041608527302742,-0.22528088092803955]","[-0.18793979287147522,-0.07427613437175751,-0.2551805377006531]","[-0.2532612979412079,-0.13701222836971283,-0.16726945340633392]","[-0.1196126937866211,-0.14182543754577637,-0.2689870595932007]","[-0.29778945446014404,-0.13195174932479858,-0.35396474599838257]","[-0.22915607690811157,-0.16649802029132843,-0.3560316264629364]","[-0.18487094342708588,-0.18579009175300598,-0.2847583591938019]","[-0.1368364691734314,-0.22019614279270172,-0.3071117401123047]","[-0.23046714067459106,-0.06482520699501038,-0.29426416754722595]","[-0.2082408368587494,-0.09981486201286316,-0.3060275614261627]","[-0.1982301026582718,-0.15974529087543488,-0.1676170974969864]","[-0.08155430853366852,-0.18149657547473907,-0.15186801552772522]","[-0.30550044775009155,-0.1727065145969391,-0.2837245464324951]"
"[-0.2531282305717468,-0.06328798830509186,-0.231989786028862]","[-0.23159879446029663,-0.0772697776556015,-0.1618901789188385]","[-0.26681575179100037,-0.012686342000961304,-0.20124247670173645]","[-0.2492159903049469,-0.02482636272907257,-0.12429271638393402]","[-0.2390809953212738,-0.12251041829586029,-0.2511061728000641]","[-0.22951804101467133,-0.09672747552394867,-0.2923400402069092]","[-0.21460185945034027,-0.07062681019306183,-0.16694331169128418]","[-0.21853511035442352,0.001124270260334015,-0.21587726473808289]","[-0.22275331616401672,-0.10426107048988342,-0.25611186027526855]","[-0.2097485363483429,-0.022271275520324707,-0.2357613742351532]","[-0.22476136684417725,-0.0769343301653862,-0.24059468507766724]","[-0.2500753700733185,-0.10998093336820602,-0.30124133825302124]","[-0.1338110864162445,-0.06991986930370331,-0.30796587467193604]","[-0.12281203269958496,-0.043310873210430145,-0.4705631136894226]","[-0.18651613593101501,-0.12222182750701904,-0.2496936023235321]","[-0.09882673621177673,-0.16350769996643066,-0.22991281747817993]","[-0.1813395470380783,-0.08875443041324615,-0.1721341609954834]","[-0.2008107304573059,-0.133823424577713,-0.192349374294281]","[-0.16119691729545593,-0.11476132273674011,-0.21115373075008392]","[-0.3445146679878235,-0.2099262923002243,-0.10050627589225769]"
"[-0.13798405230045319,-0.026213370263576508,-0.14884884655475616]","[-0.22147516906261444,-0.04298410192131996,-0.18279141187667847]","[-0.1901748776435852,-0.07552195340394974,-0.21869727969169617]","[-0.04368746280670166,-0.14075759053230286,-0.22420567274093628]","[-0.1433437466621399,-0.07874630391597748,-0.20886275172233582]","[-0.20078615844249725,-0.08234376460313797,-0.2175706923007965]","[-0.19190213084220886,-0.08728089928627014,-0.19866758584976196]","[-0.26188141107559204,-0.001529306173324585,-0.23709145188331604]","[-0.15092425048351288,-0.013523109257221222,-0.2647876739501953]","[0.018834352493286133,-0.035331692546606064,-0.22388142347335815]","[-0.24659578502178192,-0.09438605606555939,-0.26774510741233826]","[-0.24906456470489502,-0.14684145152568817,-0.29765546321868896]","[-0.23686133325099945,-0.05964794382452965,-0.3695559501647949]","[-0.16994068026542664,-0.03840436041355133,-0.3697454631328583]","[-0.17752516269683838,-0.09899133443832397,-0.21962478756904602]","[-0.29501429200172424,-0.09041516482830048,-0.3223743736743927]","[-0.15323573350906372,-0.02266797423362732,-0.22130128741264343]","[-0.30727899074554443,-0.04899244010448456,-0.15043991804122925]","[-0.09850730001926422,-0.01062975823879242,-0.1813388466835022]","[-0.2552809417247772,-0.10842923820018768,0.001812085509300232]"
"[-0.22815310955047607,-0.08045860379934311,-0.21113142371177673]","[-0.2334224283695221,-0.12232724577188492,-0.20016533136367798]","[-0.29506799578666687,-0.0537998266518116,-0.20611092448234558]","[-0.22732685506343842,-0.11273233592510223,-0.21600885689258575]","[-0.22123868763446808,-0.06507296860218048,-0.16649602353572845]","[-0.15936872363090515,0.042327091097831726,-0.13721415400505066]","[-0.13119670748710632,-0.107694610953331,-0.27270156145095825]","[-0.1518622636795044,-0.08033446967601776,-0.2259543538093567]","[-0.17234955728054047,-0.05288337916135788,-0.171455979347229]","[-0.12221704423427582,-0.05998259782791138,-0.3326696455478668]","[-0.2381828874349594,-0.15139538049697876,-0.19826437532901764]","[-0.32020431756973267,-0.11995086073875427,-0.29533645510673523]","[-0.29791080951690674,-0.1527545303106308,-0.3299850523471832]","[-0.22689016163349152,-0.16123038530349731,-0.29816073179244995]","[-0.32799628376960754,-0.10959814488887787,-0.28706419467926025]","[-0.06327357888221741,0.051624223589897156,-0.19727790355682373]","[-0.08823603391647339,0.025810062885284424,-0.21068479120731354]","[-0.23308606445789337,-0.11851207911968231,-0.17755286395549774]","[-0.15184086561203003,-0.06511592864990234,-0.167650505900383]","[-0.17340652644634247,-0.060689203441143036,-0.29041463136672974]"
"[-0.3140895366668701,-0.03961601108312607,-0.21074926853179932]","[-0.19675664603710175,-0.1376934051513672,-0.19661089777946472]","[-0.22752490639686584,-0.09495387971401215,-0.1546364575624466]","[-0.1688123345375061,-0.0881534144282341,-0.18804535269737244]","[-0.22400546073913574,0.009113535284996033,-0.15581300854682922]","[-0.2915979325771332,-0.011032052338123322,-0.20997634530067444]","[-0.24106042087078094,-0.018909141421318054,-0.25910425186157227]","[-0.20420803129673004,-0.08265376091003418,-0.23023414611816406]","[-0.2213217318058014,-0.030814655125141144,-0.19176620244979858]","[-0.3110053241252899,-0.03371972590684891,-0.2561345100402832]","[-0.23310226202011108,-0.0605199933052063,-0.25901520252227783]","[-0.12795288860797882,-0.09769858419895172,-0.3583936393260956]","[-0.2542720139026642,-0.13394753634929657,-0.32796603441238403]","[-0.14379042387008667,-0.09121863543987274,-0.252615749835968]","[-0.06898824870586395,-0.19620895385742188,-0.2068762332201004]","[-0.1856471300125122,-0.1792871654033661,-0.22323212027549744]","[-0.21893663704395294,0.10002864897251129,-0.0287492573261261]","[-0.2770201861858368,-0.11531415581703186,-0.2211252599954605]","[-0.24912256002426147,-0.11795090138912201,-0.2278631031513214]","[-0.2122097611427307,-0.19809967279434204,-0.14705711603164673]"
"[-0.21836242079734802,-0.021448709070682526,-0.22029784321784973]","[-0.2379676252603531,-0.15660777688026428,-0.26936227083206177]","[-0.2193412184715271,-0.11700212955474854,-0.27884674072265625]","[-0.2115146815776825,-0.11105645447969437,-0.1987643539905548]","[-0.17239826917648315,-0.05920710414648056,-0.2175632119178772]","[-0.23168820142745972,-0.08815372735261917,-0.2586904466152191]","[-0.19416558742523193,-0.1007557064294815,-0.2445075809955597]","[-0.33690014481544495,-0.032541461288928986,-0.17540687322616577]","[-0.27739250659942627,0.0006278008222579956,-0.21280060708522797]","[-0.3093855082988739,-0.039439134299755096,-0.27204856276512146]","[-0.2813001871109009,-0.0466691292822361,-0.2684481739997864]","[-0.306878000497818,-0.050425395369529724,-0.390778124332428]","[-0.24608123302459717,-0.12938742339611053,-0.45579928159713745]","[-0.1765473335981369,-0.11228395253419876,-0.3469081223011017]","[-0.2765805721282959,-0.06677037477493286,-0.3205786943435669]","[-0.2357228547334671,-0.13730165362358093,-0.25038421154022217]","[-0.26915204524993896,-0.12400557100772858,-0.2590717375278473]","[-0.1386890709400177,-0.18374085426330566,-0.15937918424606323]","[-0.2126992791891098,-0.1509886085987091,-0.2331601083278656]","[-0.23415835201740265,-0.11316061019897461,-0.177575021982193]"
"[-0.24318376183509827,-0.12289287149906158,-0.23961567878723145]","[-0.2047695815563202,-0.04552346467971802,-0.16184109449386597]","[-0.18116119503974915,-0.027837365865707397,-0.1753610372543335]","[-0.19284608960151672,-0.08388343453407288,-0.19085392355918884]","[-0.21957948803901672,-0.10071579366922379,-0.2669796347618103]","[-0.2142227739095688,-0.09062831103801727,-0.2256043553352356]","[-0.22619062662124634,-0.01709916442632675,-0.21019414067268372]","[-0.17708541452884674,-0.002145998179912567,-0.27060797810554504]","[-0.20385897159576416,-0.029037117958068848,-0.21527251601219177]","[-0.21575415134429932,-0.11181803047657013,-0.2497451901435852]","[-0.1807767003774643,-0.06785862147808075,-0.23730336129665375]","[-0.19240324199199677,-0.07303166389465332,-0.29404959082603455]","[-0.19681525230407715,-0.12383149564266205,-0.2729648947715759]","[-0.1501147449016571,-0.07397112250328064,-0.27516186237335205]","[-0.16063834726810455,-0.0242222398519516,-0.25341352820396423]","[-0.26276546716690063,-0.10713237524032593,-0.17297208309173584]","[-0.18015792965888977,-0.10683034360408783,-0.23144130408763885]","[-0.15675804018974304,-0.04892260581254959,-0.18457093834877014]","[-0.22491979598999023,-0.09847793728113174,-0.1675892323255539]","[-0.05090928077697754,-0.05059308558702469,-0.1280723363161087]"
"[-0.21693208813667297,0.15863037109375,-0.20430922508239746]","[-0.21002201735973358,-0.06841158866882324,-0.21042831242084503]","[-0.12767450511455536,-0.025215789675712585,-0.16117355227470398]","[-0.14626972377300262,-0.03183046728372574,-0.16859087347984314]","[-0.18547695875167847,-0.13083629310131073,-0.17838650941848755]","[-0.20128116011619568,0.11321420967578888,-0.31247544288635254]","[-0.23666687309741974,-0.12121102958917618,-0.13771814107894897]","[-0.24690032005310059,-0.07091479748487473,-0.2812967896461487]","[-0.18035626411437988,-0.11962254345417023,-0.2775770127773285]","[-0.15980619192123413,0.029378637671470642,-0.30838316679000854]","[-0.19487428665161133,-0.08573214709758759,-0.2747824192047119]","[-0.22327907383441925,-0.06793820858001709,-0.2647199034690857]","[-0.2655107378959656,-0.15598608553409576,-0.24158534407615662]","[-0.22843517363071442,-0.13125284016132355,-0.33124107122421265]","[-0.23756760358810425,-0.0695774108171463,-0.2550956904888153]","[-0.3040996789932251,0.016382470726966858,-0.2261790633201599]","[-0.2964933216571808,-0.14514507353305817,-0.25500449538230896]","[-0.3603152632713318,-0.02008071541786194,-0.27245357632637024]","[-0.3554180860519409,-0.09468904137611389,-0.17834073305130005]","[-0.19414791464805603,-0.031144335865974426,-0.20613782107830048]"
"[-0.20399539172649384,-0.1552509367465973,-0.22510328888893127]","[-0.22078685462474823,-0.08728939294815063,-0.18631061911582947]","[-0.2628282904624939,-0.0806901752948761,-0.2105204164981842]","[-0.1751495599746704,-0.10896759480237961,-0.21189844608306885]","[-0.12737378478050232,-0.06092556193470955,-0.24353280663490295]","[-0.159835085272789,-0.042034368962049484,-0.20046770572662354]","[-0.25379541516304016,-0.09549988061189651,-0.22659949958324432]","[-0.2665333151817322,-0.06041983515024185,-0.2679407298564911]","[-0.3284597396850586,-0.08862859755754471,-0.3218693733215332]","[-0.1937076896429062,-0.022753756493330002,-0.14451494812965393]","[-0.20427000522613525,-0.1331702470779419,-0.21985268592834473]","[-0.2363424152135849,-0.059728965163230896,-0.3199293911457062]","[-0.12277868390083313,0.02841848134994507,-0.3055163621902466]","[-0.19527964293956757,0.06823650002479553,-0.3150944113731384]","[-0.14466571807861328,-0.03490343689918518,-0.25683531165122986]","[-0.16785505414009094,-0.08219689875841141,-0.25684648752212524]","[-0.06139795482158661,-0.13368892669677734,-0.24629582464694977]","[-0.1856638342142105,-0.1832451969385147,-0.23390567302703857]","[-0.038241952657699585,-0.11972911655902863,-0.19308044016361237]","[-0.1619451940059662,-0.1443786323070526,-0.23783183097839355]"
"[-0.18190500140190125,-0.08777610957622528,-0.15840980410575867]","[-0.22246620059013367,-0.13237375020980835,-0.1418578028678894]","[-0.28484779596328735,-0.08683915436267853,-0.17912200093269348]","[-0.24901902675628662,-0.07519889622926712,-0.09373253583908081]","[-0.30171868205070496,-0.1365269124507904,-0.2865303158760071]","[-0.2957151532173157,-0.036562368273735046,-0.23050379753112793]","[-0.1984597146511078,-0.08372920751571655,-0.19195424020290375]","[-0.21228499710559845,-0.06578658521175385,-0.2847243845462799]","[-0.1925966441631317,-0.13231627643108368,-0.1747712939977646]","[-0.35738810896873474,-0.0516497865319252,-0.2614150047302246]","[-0.2863021492958069,-0.09324568510055542,-0.29563263058662415]","[-0.24081967771053314,-0.14498087763786316,-0.3032967150211334]","[-0.1751326471567154,-0.07109373807907104,-0.25507619976997375]","[-0.3020118474960327,-0.08440342545509338,-0.28376245498657227]","[-0.20509575307369232,-0.14790408313274384,-0.272464394569397]","[-0.21228691935539246,-0.0719575583934784,-0.18456602096557617]","[-0.24665823578834534,-0.039702482521533966,-0.2877872884273529]","[-0.12617243826389313,-0.16311591863632202,-0.2002159208059311]","[-0.2706415355205536,-0.1286766529083252,-0.22008046507835388]","[-0.23968814313411713,-0.22066529095172882,-0.23006103932857513]"
"[-0.08934034407138824,-0.044230856001377106,-0.1358516365289688]","[-0.2517384886741638,-0.08733335882425308,-0.2121208906173706]","[-0.13583709299564362,0.06221085786819458,-0.16269558668136597]","[-0.15573793649673462,-0.007548056542873383,-0.22781425714492798]","[-0.22856175899505615,-0.0410148985683918,-0.26067331433296204]","[-0.17836427688598633,-0.08762997388839722,-0.18819214403629303]","[-0.12196479737758636,-0.029618792235851288,-0.20682750642299652]","[-0.20946329832077026,-0.04827193543314934,-0.23081526160240173]","[-0.24334178864955902,-0.08056548237800598,-0.14572440087795258]","[-0.31111904978752136,-0.005348771810531616,-0.22372862696647644]","[-0.22538378834724426,-0.09958280622959137,-0.23470143973827362]","[-0.17286363244056702,-0.1346234232187271,-0.3179289996623993]","[-0.1567097008228302,-0.13179165124893188,-0.2766039967536926]","[-0.2008867710828781,-0.10812947154045105,-0.2959252893924713]","[-0.19107699394226074,-0.081502765417099,-0.2996852695941925]","[-0.22642448544502258,-0.05472429096698761,-0.25811272859573364]","[-0.2055278718471527,-5.449354648590088e-05,-0.3471528887748718]","[-0.16068607568740845,-0.03295377641916275,-0.2002030313014984]","[-0.20711492002010345,-0.08592316508293152,-0.20449697971343994]","[-0.1407461017370224,-0.04504042863845825,-0.2453882098197937]"
"[-0.34450751543045044,-0.015437386929988861,-0.2656291723251343]","[-0.2532040476799011,-0.06240091472864151,-0.23854777216911316]","[-0.15580756962299347,-0.01955336332321167,-0.23404020071029663]","[-0.17394891381263733,-0.10869785398244858,-0.20671126246452332]","[-0.16417638957500458,-0.12029699981212616,-0.0831298679113388]","[-0.24035707116127014,-0.11008386313915253,-0.3020904064178467]","[-0.1625770926475525,-0.12610551714897156,-0.20629534125328064]","[-0.2591513693332672,-0.028103478252887726,-0.1448751538991928]","[-0.1068556010723114,-0.12642042338848114,-0.1685909777879715]","[-0.2645975947380066,-0.2589549422264099,-0.18834641575813293]","[-0.15404751896858215,-0.00853981077671051,-0.23679986596107483]","[-0.3093462586402893,-0.11090996861457825,-0.2352994680404663]","[-0.11984920501708984,-0.12647263705730438,-0.32139208912849426]","[-0.21643809974193573,-0.09735427796840668,-0.24512651562690735]","[-0.19966474175453186,0.021410495042800903,-0.22374588251113892]","[-0.23944780230522156,-0.15065233409404755,-0.237797811627388]","[-0.20807750523090363,-0.14315861463546753,-0.2610096037387848]","[-0.33165523409843445,-0.07665573805570602,-0.340620219707489]","[-0.16691330075263977,-0.06673778593540192,-0.22261309623718262]","[-0.16610679030418396,-0.03824246674776077,-0.21630021929740906]"
"[-0.1736944019794464,-0.0724029690027237,-0.200303852558136]","[-0.2120809704065323,-0.05381479859352112,-0.2808081805706024]","[-0.19803400337696075,-0.05264415591955185,-0.18650153279304504]","[-0.19257298111915588,-0.07653091847896576,-0.13721592724323273]","[-0.35343730449676514,0.0546087920665741,-0.1713746339082718]","[-0.19948875904083252,-0.01019275188446045,-0.22594662010669708]","[-0.18160685896873474,-0.09664270281791687,-0.08201165497303009]","[-0.18522754311561584,-0.0015329718589782715,-0.26217857003211975]","[-0.29389533400535583,-0.02338308095932007,-0.2686883211135864]","[-0.23511239886283875,-0.03896202892065048,-0.2811237573623657]","[-0.25146612524986267,-0.10710747539997101,-0.288588285446167]","[-0.21960890293121338,-0.08569137752056122,-0.3091201186180115]","[-0.25763940811157227,-0.11552636325359344,-0.3456856310367584]","[-0.16347137093544006,-0.03755239024758339,-0.14843976497650146]","[-0.2511650323867798,0.007608860731124878,-0.18885953724384308]","[-0.28452780842781067,-0.18859919905662537,-0.2831663489341736]","[-0.15308038890361786,-0.056560758501291275,-0.22308209538459778]","[-0.2688043415546417,-0.18738172948360443,-0.2541974186897278]","[-0.24993278086185455,-0.07851145416498184,-0.26868799328804016]","[-0.3080061674118042,-0.182157963514328,-0.201647087931633]"
"[-0.2115299105644226,-0.16986185312271118,-0.2035362720489502]","[-0.23882202804088593,-0.08354662358760834,-0.22816665470600128]","[-0.15834107995033264,-0.02013726532459259,-0.13889175653457642]","[-0.20216354727745056,-0.038250621408224106,-0.13672365248203278]","[-0.2250005155801773,-0.07761787623167038,-0.28619763255119324]","[-0.15285691618919373,-0.07364597916603088,-0.1644352823495865]","[-0.17198258638381958,-0.031164150685071945,-0.22105520963668823]","[-0.16923874616622925,-0.030036363750696182,-0.2036069631576538]","[-0.24529318511486053,-0.06275579333305359,-0.2200731337070465]","[-0.18752352893352509,-0.030899465084075928,-0.2700774371623993]","[-0.1686801016330719,-0.06835008412599564,-0.25210249423980713]","[-0.12067016959190369,-0.10800649225711823,-0.31800606846809387]","[-0.26289430260658264,0.015562310814857483,-0.38302725553512573]","[-0.29572364687919617,-0.004750750958919525,-0.2685467302799225]","[-0.09426723420619965,-0.1726994812488556,-0.3097954988479614]","[-0.12098367512226105,-0.17261411249637604,-0.2923385798931122]","[-0.22128897905349731,-0.18764589726924896,-0.25049126148223877]","[-0.26768457889556885,-0.09090478718280792,-0.2705932557582855]","[-0.22926627099514008,-0.21386700868606567,-0.20725616812705994]","[-0.1878676563501358,-0.1600511372089386,-0.22957181930541992]"
"[-0.1969538778066635,0.09338252246379852,-0.060690030455589294]","[-0.1974104642868042,-0.12192569673061371,-0.17746961116790771]","[-0.2636876404285431,-0.036146871745586395,-0.1609521210193634]","[-0.23423056304454803,0.003852859139442444,-0.18629184365272522]","[-0.17219068109989166,0.03081931173801422,-0.2869245707988739]","[-0.18789812922477722,-0.03212226927280426,-0.21452680230140686]","[-0.13638988137245178,0.0033593475818634033,-0.23603710532188416]","[-0.14506494998931885,0.008503325283527374,-0.2952832579612732]","[-0.2100159227848053,-0.039446473121643066,-0.25350481271743774]","[-0.10675450414419174,0.01734347641468048,-0.24236196279525757]","[-0.19550737738609314,-0.014735579490661621,-0.27078649401664734]","[-0.25054481625556946,0.06429430842399597,-0.22698020935058594]","[-0.26018333435058594,-0.1502857357263565,-0.2691718339920044]","[-0.18312199413776398,0.029259756207466125,-0.3195837736129761]","[-0.09690190851688385,-0.07369385659694672,-0.15881407260894775]","[-0.18689830601215363,-0.06870410591363907,-0.21992164850234985]","[-0.16774997115135193,-0.015852972865104675,-0.09497024118900299]","[-0.17069324851036072,-0.11031504720449448,-0.14652825891971588]","[-0.10653705149888992,-0.19105897843837738,-0.30003103613853455]","[-0.22584030032157898,-0.0700950026512146,-0.25245532393455505]"
